,StadiumType,Turf,Temperature,Humidity,GameId
0,Outdoor,Grass,81.0,71.0,2018090600
1,Outdoor,Natural Grass,61.0,97.0,2018090900
2,Outdoor,Grass,58.0,84.0,2018090901
3,Retr. Roof - Closed,Artificial,59.0,91.0,2018090902
4,Outdoor,Natural Grass,89.0,63.0,2018090903
5,Indoors,Field Turf,,0.0,2018090904
6,Outdoor,Field Turf,62.0,61.0,2018090905
7,Indoors,UBU Speed Series-S5-M,86.0,67.0,2018090906
8,,UBU Speed Series-S5-M,59.0,85.0,2018090907
9,,Grass,84.0,52.0,2018090908
10,Dome,Grass,,0.0,2018090909
11,Outdoors,Natural Grass,81.0,74.0,2018090910
12,Outdoor,Grass,84.0,17.0,2018090911
13,Outdoor,SISGrass,62.0,65.0,2018090912
14,Indoors,Field Turf,68.0,70.0,2018091000
15,Outdoor,Grass,69.0,58.0,2018091001
16,Outdoor,Twenty-Four/Seven Turf,82.0,54.0,2018091300
17,"Domed, closed",FieldTurf360,,0.0,2018091600
18,Outdoors,A-Turf Titan,83.0,63.0,2018091601
19,Outdoor,SISGrass,80.0,71.0,2018091602
20,Indoors,UBU Speed Series-S5-M,90.0,68.0,2018091603
21,Outdoor,FieldTurf,80.0,63.0,2018091604
22,Outdoors,Grass,80.0,65.0,2018091605
23,Outdoor,Natural Grass,91.0,65.0,2018091606
24,Outdoors,Grass,81.0,63.0,2018091607
25,Outdoor,Grass,71.0,88.0,2018091608
26,Outdoor,Grass,86.0,35.0,2018091609
27,Outdoor,Natural Grass,73.0,0.0,2018091610
28,Outdoor,Grass,92.0,13.0,2018091611
29,Open,Grass,97.0,46.0,2018091612
30,Indoors,Artificial,,0.0,2018091613
31,Outdoor,Natural Grass,79.0,62.0,2018091700
32,Outdoor,Grass,83.0,64.0,2018092000
33,"Domed, closed",FieldTurf360,,0.0,2018092300
34,Outdoor,Natural Grass,61.0,91.0,2018092301
35,Outdoors,Natural Grass,80.0,69.0,2018092302
36,Retractable Roof,Artificial,78.0,72.0,2018092303
37,Outdoor,Grass,89.0,61.0,2018092304
38,Outdoor,Natural Grass,70.0,64.0,2018092305
39,Outdoor,Natural Grass,90.0,58.0,2018092306
40,Indoors,Field Turf,,0.0,2018092307
41,Outdoor,Grass,61.0,92.0,2018092308
42,Outdoor,Grass,62.0,96.0,2018092309
43,Outdoor,Grass,80.0,50.0,2018092310
44,Dome,Grass,,0.0,2018092311
45,Outdoor,FieldTurf,61.0,59.0,2018092312
46,Indoors,Field Turf,68.0,70.0,2018092313
47,Outdoor,Natural Grass,77.0,89.0,2018092400
48,Outdoor,Grass,75.0,68.0,2018092700
49,"Domed, closed",FieldTurf360,,,2018093000
50,Outdoor,Natural Grass,66.0,62.0,2018093001
51,Indoors,Artificial,,,2018093002
52,Outdoor,SISGrass,49.0,79.0,2018093003
53,Retr. Roof - Open,Artificial,73.0,65.0,2018093004
54,Outdoor,Grass,86.0,70.0,2018093005
55,Outdoor,Field Turf,65.0,48.0,2018093006
56,Outdoors,Grass,80.0,56.0,2018093007
57,Dome,Grass,,,2018093008
58,Outdoor,Natural Grass,71.0,58.0,2018093009
59,,Grass,78.0,56.0,2018093010
