,GameId,HomeTeamAbbr,VisitorTeamAbbr,Week
0,2018090600,PHI,ATL,1
1,2018090900,BAL,BUF,1
2,2018090901,CLE,PIT,1
3,2018090902,IND,CIN,1
4,2018090903,MIA,TEN,1
5,2018090904,MIN,SF,1
6,2018090905,NE,HOU,1
7,2018090906,NO,TB,1
8,2018090907,NYG,JAX,1
9,2018090908,LAC,KC,1
10,2018090909,ARI,WAS,1
11,2018090910,CAR,DAL,1
12,2018090911,DEN,SEA,1
13,2018090912,GB,CHI,1
14,2018091000,DET,NYJ,1
15,2018091001,OAK,LA,1
16,2018091300,CIN,BAL,2
17,2018091600,ATL,CAR,2
18,2018091601,BUF,LAC,2
19,2018091602,GB,MIN,2
20,2018091603,NO,CLE,2
21,2018091604,NYJ,MIA,2
22,2018091605,PIT,KC,2
23,2018091606,TB,PHI,2
24,2018091607,TEN,HOU,2
25,2018091608,WAS,IND,2
26,2018091609,LA,ARI,2
27,2018091610,SF,DET,2
28,2018091611,DEN,OAK,2
29,2018091612,JAX,NE,2
30,2018091613,DAL,NYG,2
31,2018091700,CHI,SEA,2
32,2018092000,CLE,NYJ,3
33,2018092300,ATL,NO,3
34,2018092301,BAL,DEN,3
35,2018092302,CAR,CIN,3
36,2018092303,HOU,NYG,3
37,2018092304,JAX,TEN,3
38,2018092305,KC,SF,3
39,2018092306,MIA,OAK,3
40,2018092307,MIN,BUF,3
41,2018092308,PHI,IND,3
42,2018092309,WAS,GB,3
43,2018092310,LA,LAC,3
44,2018092311,ARI,CHI,3
45,2018092312,SEA,DAL,3
46,2018092313,DET,NE,3
47,2018092400,TB,PIT,3
48,2018092700,LA,MIN,4
49,2018093000,ATL,CIN,4
50,2018093001,CHI,TB,4
51,2018093002,DAL,DET,4
52,2018093003,GB,BUF,4
53,2018093004,IND,HOU,4
54,2018093005,JAX,NYJ,4
55,2018093006,NE,MIA,4
56,2018093007,TEN,PHI,4
57,2018093008,ARI,SEA,4
58,2018093009,OAK,CLE,4
59,2018093010,LAC,SF,4
60,2018093011,NYG,NO,4
61,2018093012,PIT,BAL,4
62,2018100100,DEN,KC,4
63,2018100400,NE,IND,5
64,2018100700,BUF,TEN,5
65,2018100701,CAR,NYG,5
66,2018100702,CIN,MIA,5
67,2018100703,CLE,BAL,5
68,2018100704,DET,GB,5
69,2018100705,KC,JAX,5
70,2018100706,NYJ,DEN,5
71,2018100707,PIT,ATL,5
72,2018100708,LAC,OAK,5
73,2018100709,PHI,MIN,5
74,2018100710,SF,ARI,5
75,2018100711,SEA,LA,5
76,2018100712,HOU,DAL,5
77,2018100800,NO,WAS,5
78,2018101100,NYG,PHI,6
79,2018101400,ATL,TB,6
80,2018101401,CIN,PIT,6
81,2018101402,CLE,LAC,6
82,2018101403,HOU,BUF,6
83,2018101404,MIA,CHI,6
84,2018101405,MIN,ARI,6
