,GameKey,PlayId,GameClock,Quarter,PlayType,PossessionTeam
0,2,191,12:30,1,Punt,LA
1,2,1132,12:08,2,Punt,LA
2,2,1227,10:01,2,Punt,DAL
3,2,1864,0:21,2,Punt,LA
4,2,2247,10:26,3,Punt,DAL
5,2,2342,9:00,3,Punt,LA
6,2,2805,0:27,3,Punt,LA
7,2,2970,13:30,4,Punt,DAL
8,2,3439,5:28,4,Punt,DAL
9,3,455,6:44,1,Punt,BLT
10,3,1388,5:50,2,Punt,CAR
11,3,1542,2:54,2,Punt,BLT
12,3,1676,1:51,2,Punt,CAR
13,3,2643,6:10,3,Punt,CAR
14,3,3949,1:59,4,Punt,BLT
15,4,291,9:32,1,Punt,GB
16,4,386,8:37,1,Punt,GB
17,4,927,1:53,1,Punt,CLV
18,4,1056,14:18,2,Punt,GB
19,4,1618,4:36,2,Punt,GB
20,4,1725,2:48,2,Punt,CLV
21,4,2795,5:00,3,Punt,CLV
22,4,2888,3:29,3,Punt,GB
23,4,3524,8:38,4,Punt,GB
24,4,3646,6:06,4,Punt,CLV
25,4,3900,2:26,4,Punt,GB
26,5,575,6:59,1,Punt,CHI
27,5,821,3:23,1,Punt,CHI
28,5,933,1:51,1,Punt,DEN
29,5,1044,0:06,1,Punt,CHI
30,5,1333,11:40,2,Punt,CHI
31,5,1440,10:17,2,Punt,DEN
32,5,2046,1:57,2,Punt,CHI
33,5,2564,13:24,3,Punt,CHI
34,5,2680,11:14,3,Punt,DEN
35,5,3129,3:44,3,Punt,CHI
36,5,3315,0:16,3,Punt,DEN
37,5,3521,12:19,4,Punt,CHI
38,5,3864,6:39,4,Punt,DEN
39,5,4095,3:40,4,Punt,CHI
40,6,76,13:00,1,Punt,PIT
41,6,632,5:16,1,Punt,PIT
42,6,655,5:07,1,Punt,PIT
43,6,852,1:07,1,Punt,DET
44,6,958,15:00,2,Punt,PIT
45,6,2518,11:37,3,Punt,DET
46,6,2626,9:04,3,Punt,PIT
47,6,3236,12:04,4,Punt,PIT
48,6,3725,3:57,4,Punt,PIT
49,6,3870,2:12,4,Punt,DET
50,6,4078,0:14,4,Punt,PIT
51,7,123,14:19,1,Punt,SF
52,7,242,12:44,1,Punt,HST
53,7,817,5:08,1,Punt,HST
54,7,1800,2:57,2,Punt,HST
55,7,1962,1:09,2,Punt,SF
56,7,2067,0:43,2,Punt,HST
57,7,2410,13:38,3,Punt,HST
58,7,2551,12:07,3,Punt,SF
59,7,2889,5:56,3,Punt,SF
60,7,3159,2:42,3,Punt,SF
61,7,3321,0:18,3,Punt,HST
62,7,3469,13:27,4,Punt,SF
63,7,4212,3:51,4,Punt,HST
64,7,4309,3:24,4,Punt,SF
65,8,197,12:08,1,Punt,IND
66,8,342,9:16,1,Punt,BUF
67,8,460,8:36,1,Punt,IND
68,8,854,2:12,1,Punt,IND
69,8,955,0:35,1,Punt,BUF
70,8,1089,14:13,2,Punt,IND
71,8,1207,12:05,2,Punt,BUF
72,8,1308,11:04,2,Punt,IND
73,8,1432,9:01,2,Punt,BUF
74,8,1649,5:12,2,Punt,IND
75,8,1739,4:10,2,Punt,BUF
76,8,2088,1:01,2,Punt,BUF
77,8,2678,9:20,3,Punt,IND
78,8,2914,4:36,3,Punt,BUF
79,8,3120,1:01,3,Punt,IND
80,8,3665,8:11,4,Punt,BUF
81,8,3858,4:23,4,Punt,IND
82,9,487,5:19,1,Punt,NYJ
83,9,1059,11:01,2,Punt,JAX
84,9,1086,9:58,2,Punt,JAX
85,9,1178,8:24,2,Punt,NYJ
86,9,1448,4:05,2,Punt,JAX
87,9,1545,3:05,2,Punt,NYJ
88,9,2395,6:59,3,Punt,JAX
89,9,2847,15:00,4,Punt,JAX
90,9,3000,12:08,4,Punt,NYJ
91,9,3196,8:25,4,Punt,JAX
92,9,3488,3:55,4,Punt,JAX
93,9,3589,2:55,4,Punt,NYJ
94,9,3675,2:24,4,Punt,JAX
95,9,3793,1:48,4,Punt,NYJ
96,10,491,8:16,1,Punt,MIA
97,10,642,6:14,1,Punt,NYG
98,10,758,4:37,1,Punt,MIA
99,10,925,2:57,1,Punt,NYG
100,10,1275,14:04,2,Punt,MIA
101,10,1409,12:02,2,Punt,NYG
102,10,1501,10:38,2,Punt,MIA
103,10,2693,10:23,3,Punt,MIA
104,10,2810,8:40,3,Punt,NYG
105,10,3228,0:38,3,Punt,NYG
106,10,3432,12:46,4,Punt,MIA
107,10,3790,6:30,4,Punt,NYG
108,10,3878,5:08,4,Punt,MIA
109,10,3981,3:35,4,Punt,NYG
110,11,339,9:59,1,Punt,MIN
111,11,1327,4:34,2,Punt,CIN
112,11,1429,2:38,2,Punt,MIN
113,11,1460,2:27,2,Punt,MIN
114,11,2025,11:40,3,Punt,MIN
115,11,2279,7:42,3,Punt,CIN
116,11,2928,12:34,4,Punt,CIN
117,11,3125,8:07,4,Punt,MIN
118,11,3453,3:09,4,Punt,MIN
119,11,3651,2:00,4,Punt,MIN
120,12,209,12:19,1,Punt,NE
121,12,459,9:01,1,Punt,NO
122,12,556,8:11,1,Punt,NE
123,12,859,3:05,1,Punt,NE
124,12,1404,11:42,2,Punt,NO
125,12,1978,3:33,2,Punt,NO
126,12,2495,13:08,3,Punt,NE
127,12,2990,5:14,3,Punt,NO
128,12,3115,4:19,3,Punt,NE
129,12,3632,12:35,4,Punt,NE
130,12,4485,2:50,4,Punt,NO
131,12,4621,0:40,4,Punt,NE
