,Game_Date,Game_Day_cle,Temperature_cle,Game_Day_dal,Temperature_dal
0,2016-08-18,Thursday,79,,
1,2016-08-19,Thursday,79,Friday,82.0
2,2016-09-01,Thursday,73,Thursday,90.0
3,2016-09-11,Thursday,73,Sunday,85.0
4,2016-09-18,Sunday,74,Sunday,85.0
5,2016-09-25,Sunday,74,Sunday,86.0
6,2016-10-09,Sunday,58,Sunday,80.0
7,2016-10-30,Sunday,53,Sunday,84.0
8,2016-11-06,Sunday,58,Sunday,84.0
9,2016-11-20,Sunday,36,Sunday,70.0
10,2016-11-24,Sunday,36,Thursday,63.0
11,2016-11-27,Sunday,48,Thursday,63.0
12,2016-12-11,Sunday,28,Thursday,63.0
13,2016-12-18,Sunday,28,Sunday,54.0
14,2016-12-24,Saturday,38,Sunday,54.0
15,2016-12-26,Saturday,38,Monday,56.0
16,2017-01-15,Saturday,38,Sunday,52.0
17,2017-08-10,Thursday,77,Sunday,52.0
18,2017-08-19,Thursday,77,Saturday,75.0
19,2017-08-21,Monday,79,Saturday,75.0
20,2017-08-26,Monday,79,Saturday,70.0
21,2017-09-10,Sunday,63,Sunday,83.0
22,2017-10-01,Sunday,63,Sunday,79.0
23,2017-10-08,Sunday,67,Sunday,77.0
24,2017-10-22,Sunday,74,Sunday,77.0
25,2017-11-05,Sunday,74,Sunday,64.0
26,2017-11-19,Sunday,38,Sunday,54.0
27,2017-11-23,Sunday,38,Thursday,56.0
28,2017-11-30,Sunday,38,Thursday,58.0
29,2017-12-10,Sunday,29,Thursday,58.0
30,2017-12-17,Sunday,36,Thursday,58.0
31,2017-12-24,Sunday,36,Sunday,54.0
